crym,sido,sigungu,subject,slide,stmt_no,stmt
202502,경기도,수원시,카드가맹점,1,1,"수원시의 당월 전체 신규 가맹점 수는 전월 대비 감소하였으며, 휴·폐업 가맹점은 증가하여 전반적으로 사업자 유입 흐름이 감소한 양상을 보임"
202502,경기도,수원시,카드가맹점,1,2,"업종 소분류별로는 일반의원 업종에서 09-11시간대에 최대 매출이 발생하며, 편의점 업종에서 19-21 시간대에 최다 매출건수가 발생"
202502,경기도,수원시,카드가맹점,2,1,"수원시의 당월 매출 분석 결과, 금요일이 전월대비 가장 큰 매출액 차이가 나타나며, 전월 대비 주말 소비가 상대적으로 감소하는 모습"
202502,경기도,수원시,카드가맹점,2,2,"주중에는 일반의원, 할인점, 주유소이 매출액 상위권을 차지하고 매출건수는 편의점 업종이 가장 많으며, 주말에는 할인점, 일반한식/백반, 주유소 이 매출액 상위권이고 매출건수는 편의점 업종이 가장 많음"
202502,경기도,수원시,카드가맹점,3,1,"수원시내 존재하는 가맹점은 5년 이상 또는 1년 이하 운영 중인 사업장이 높은 비중을 차지하며, 이는 시장 내 신규 진입과 장기 운영이 공존하는 구조를 보임"
202502,경기도,수원시,카드가맹점,3,2,"신규 가맹점과 휴·폐업 가맹점의 소분류 업종 분포를 비교한 결과, 일부 업종의 중복이 나타나, 이는 경쟁 구조적 시장 특성을 반영"
202502,경기도,수원시,카드가맹점,4,1,"수원시의 당월 소비 패턴은 연령대별·시간대별로 뚜렷한 편차를 보이며, 특히 중장년층이 15-17 시간대에 높은 소비 비중을 차지해 전반적인 매출 흐름을 주도한 것으로 나타남"
202502,경기도,수원시,카드가맹점,4,2,"수원시 매출은 17-19에 전 연령대의 소비가 몰리는 경향을 보이며, 특정 시간대에 상권 활성도가 집중되는 특성이 뚜렷하게 나타남"
202502,경기도,수원시,카드소비자,1,1,"수원시 카드 소비는 주말보다 주중에 상대적으로 높게 나타났으며, 외국인 소비는 전체 카드 이용금액의 약 2%를 차지하여 지역 소비 흐름의 일부를 구성하고 있음"
202502,경기도,수원시,카드소비자,1,2,"일평균 이용금액의 최대 일자는 02월28일로 주중에 발생하였으며, 최소 일자는 02월02일로 주말에 발생하여 소비가 특정 시기에 달라지는 양상을 보임"
202502,경기도,수원시,카드소비자,2,1,"전월대비 내국인 카드 이용금액이 약 9% 감소하는 모습을 보이며, 미국국적 외국인의 이용금액이 가장 높고 대만국적 외국인이 TOP5에 새로 포함"
202502,경기도,수원시,카드소비자,2,2,"내국인은 PG, 일반의원, 할인점에서 이용금액이 집중된 반면, 외국인은 주차장, 일반의류, 커피전문점에서 높은 이용금액을 보여 소비자 유형별 업종 선호도의 차이가 나타남"
202502,경기도,수원시,카드소비자,3,1,"경기도 내 타 지역 거주자 중 화성시 봉담읍 유입자들의 소비가 가장 크며, 중장년(40-64)층의 이용금액 비중이 높음"
202502,경기도,수원시,카드소비자,3,2,"경기도 외 타 시/군/구 거주자 중에서 중장년층의 소비가 두드러졌으며, 수도권 일부 지역이 주요 소비권역으로 파악됨"
202502,경기도,수원시,카드소비자,4,1,"수원시에서 소비한 외부 거주자 중, 경기도민은 PG업종에서 가장 높은 이용금액을 보이며, 이어 일반의원, 일반한식/백반순으로 나타남"
202502,경기도,수원시,카드소비자,4,2,"비경기도 거주자는 PG업종에서 가장 높은 이용금액을 보이며, 경기도민과 유사한 업종 소비 성향을 보임"