INFLOW_SGG_CD,tot,관내/관외,SGG_CD,SGG_NM,SIDO_NM,영역 구분
28110,8.704166666666667,관외,28110,중구,인천광역시,1000
46770,8.151250000000001,관외,46770,고흥군,전라남도,1000
11170,7.872083333333334,관외,11170,용산구,서울특별시,1000
26140,7.857083333333334,관외,26140,서구,부산광역시,1000
46780,7.636666666666667,관외,46780,보성군,전라남도,1000
46880,7.586666666666667,관외,46880,장성군,전라남도,1000
48730,7.472083333333334,관외,48730,함안군,경상남도,1000
47280,7.2375,관외,47280,문경시,경상북도,1000
41287,7.054166666666667,관외,41287,고양시 일산서구,경기도,1000
51110,7.05,관외,51110,춘천시,강원특별자치도,1000
52770,7.018750000000001,관외,52770,순창군,전북특별자치도,1000
47210,6.992083333333333,관외,47210,영주시,경상북도,1000
46790,6.979583333333333,관외,46790,화순군,전라남도,1000
41670,6.860833333333334,관외,41670,여주시,경기도,1000
41830,6.647083333333334,관외,41830,양평군,경기도,1000
11140,6.394583333333333,관외,11140,중구,서울특별시,1000
26200,6.3812500000000005,관외,26200,영도구,부산광역시,1000
43745,6.267083333333334,관외,43745,증평군,충청북도,1000
51150,6.232916666666667,관외,51150,강릉시,강원특별자치도,1000
41650,6.07125,관외,41650,포천시,경기도,1000
28710,5.7162500000000005,관외,28710,강화군,인천광역시,1000
50110,5.589583333333334,관외,50110,제주시,제주특별자치도,1000
51760,5.504166666666666,관외,51760,평창군,강원특별자치도,1000
31170,5.435416666666667,관외,31170,동구,울산광역시,1000
43760,5.17375,관외,43760,괴산군,충청북도,1000
26710,5.097916666666666,관외,26710,기장군,부산광역시,1000
43150,5.060833333333333,관외,43150,제천시,충청북도,1000
27110,5.0575,관외,27110,중구,대구광역시,1000
28140,4.66,관외,28140,동구,인천광역시,1000
52750,4.651666666666666,관외,52750,임실군,전북특별자치도,1000
46870,4.638333333333334,관외,46870,영광군,전라남도,1000
46840,4.620416666666667,관외,46840,무안군,전라남도,1000
26440,4.46,관외,26440,강서구,부산광역시,1000
46820,4.4350000000000005,관외,46820,해남군,전라남도,1000
51720,3.97125,관외,51720,홍천군,강원특별자치도,1000
52790,3.919166666666667,관외,52790,고창군,전북특별자치도,1000
46710,3.9145833333333333,관외,46710,담양군,전라남도,1000
48740,3.8520833333333333,관외,48740,창녕군,경상남도,1000
46830,3.8233333333333333,관외,46830,영암군,전라남도,1000
46720,3.5333333333333337,관외,46720,곡성군,전라남도,1000
50130,3.450416666666667,관외,50130,서귀포시,제주특별자치도,1000
48720,3.42125,관외,48720,의령군,경상남도,1000
46810,3.3108333333333335,관외,46810,강진군,전라남도,1000
51230,3.3058333333333336,관외,51230,삼척시,강원특별자치도,1000
41800,3.234166666666667,관외,41800,연천군,경기도,1000
27720,3.15625,관외,27720,군위군,대구광역시,1000
41820,2.9025,관외,41820,가평군,경기도,1000
41290,2.845833333333333,관외,41290,과천시,경기도,1000
46860,2.75875,관외,46860,함평군,전라남도,1000
46890,2.662916666666667,관외,46890,완도군,전라남도,1000
26170,2.6170833333333334,관외,26170,동구,부산광역시,1000
41250,2.525,관외,41250,동두천시,경기도,1000
46800,2.4916666666666667,관외,46800,장흥군,전라남도,1000
51210,2.4633333333333334,관외,51210,속초시,강원특별자치도,1000
47730,2.1325,관외,47730,의성군,경상북도,1000
51170,2.095416666666667,관외,51170,동해시,강원특별자치도,1000
51750,2.0404166666666668,관외,51750,영월군,강원특별자치도,1000
47920,1.7633333333333334,관외,47920,봉화군,경상북도,1000
51730,1.73,관외,51730,횡성군,강원특별자치도,1000
51790,1.7033333333333334,관외,51790,화천군,강원특별자치도,1000
51810,1.6883333333333335,관외,51810,인제군,강원특별자치도,1000
47930,1.5975000000000001,관외,47930,울진군,경상북도,1000
26110,1.4829166666666667,관외,26110,중구,부산광역시,1000
51190,1.46625,관외,51190,태백시,강원특별자치도,1000
43800,1.45,관외,43800,단양군,충청북도,1000
51770,1.1979166666666667,관외,51770,정선군,강원특별자치도,1000
51780,1.18875,관외,51780,철원군,강원특별자치도,1000
28720,1.1004166666666666,관외,28720,옹진군,인천광역시,1000
46910,1.0245833333333334,관외,46910,신안군,전라남도,1000
47750,0.88125,관외,47750,청송군,경상북도,1000
47900,0.7120833333333334,관외,47900,예천군,경상북도,1000
51800,0.6670833333333334,관외,51800,양구군,강원특별자치도,1000
51820,0.5608333333333334,관외,51820,고성군,강원특별자치도,1000
47760,0.50125,관외,47760,영양군,경상북도,1000
46900,0.49,관외,46900,진도군,전라남도,1000
51830,0.35750000000000004,관외,51830,양양군,강원특별자치도,1000
47940,0.15458333333333335,관외,47940,울릉군,경상북도,1000
44710,29330.280833333334,관내,44710,금산군,충청남도,3000
30110,2473.4441666666667,관외,30110,동구,대전광역시,3000
30170,2361.3825,관외,30170,서구,대전광역시,3000
30140,2003.0241666666666,관외,30140,중구,대전광역시,3000
30230,1126.8483333333334,관외,30230,대덕구,대전광역시,3000
30200,1061.6208333333334,관외,30200,유성구,대전광역시,3000
36110,487.58708333333334,관외,36110,세종특별자치시,세종특별자치시,3000
52730,325.15000000000003,관외,52730,무주군,전북특별자치도,3000
43730,232.70791666666668,관외,43730,옥천군,충청북도,3000
44230,217.27666666666667,관내,44230,논산시,충청남도,3000
43740,177.3841666666667,관외,43740,영동군,충청북도,3000
48170,173.11916666666667,관외,48170,진주시,경상남도,3000
44133,166.87166666666667,관내,44133,천안시 서북구,충청남도,3000
43113,152.0175,관외,43113,청주시 흥덕구,충청북도,3000
44131,138.23250000000002,관내,44131,천안시 동남구,충청남도,3000
52140,131.85458333333335,관외,52140,익산시,전북특별자치도,3000
44200,131.40041666666667,관내,44200,아산시,충청남도,3000
52720,125.72291666666668,관외,52720,진안군,전북특별자치도,3000
43112,118.53583333333334,관외,43112,청주시 서원구,충청북도,3000
41220,113.94083333333334,관외,41220,평택시,경기도,3000
47190,108.00750000000001,관외,47190,구미시,경상북도,3000
52113,107.22625000000001,관외,52113,전주시 덕진구,전북특별자치도,3000
52111,106.42291666666668,관외,52111,전주시 완산구,전북특별자치도,3000
44150,105.20541666666668,관내,44150,공주시,충청남도,3000
41590,98.71166666666667,관외,41590,화성시,경기도,3000
27290,96.72583333333334,관외,27290,달서구,대구광역시,3000
43770,90.86166666666668,관외,43770,음성군,충청북도,3000
43111,90.12291666666667,관외,43111,청주시 상당구,충청북도,3000
47150,85.38166666666667,관외,47150,김천시,경상북도,3000
29170,81.33125000000001,관외,29170,북구,광주광역시,3000
43114,76.02083333333334,관외,43114,청주시 청원구,충청북도,3000
44250,75.16083333333334,관내,44250,계룡시,충청남도,3000
52710,69.56208333333333,관외,52710,완주군,전북특별자치도,3000
52130,69.2675,관외,52130,군산시,전북특별자치도,3000
27230,67.40208333333334,관외,27230,북구,대구광역시,3000
48310,63.90416666666667,관외,48310,거제시,경상남도,3000
44810,63.515,관내,44810,예산군,충청남도,3000
44270,57.77666666666667,관내,44270,당진시,충청남도,3000
27140,55.072500000000005,관외,27140,동구,대구광역시,3000
29200,53.71708333333334,관외,29200,광산구,광주광역시,3000
11620,53.64625,관외,11620,관악구,서울특별시,3000
27170,53.41916666666667,관외,27170,서구,대구광역시,3000
44800,52.64750000000001,관내,44800,홍성군,충청남도,3000
41360,50.41541666666667,관외,41360,남양주시,경기도,3000
48240,50.237500000000004,관외,48240,사천시,경상남도,3000
11710,49.01291666666667,관외,11710,송파구,서울특별시,3000
44180,48.80833333333334,관내,44180,보령시,충청남도,3000
29140,48.287083333333335,관외,29140,서구,광주광역시,3000
44760,46.785000000000004,관내,44760,부여군,충청남도,3000
48220,46.557500000000005,관외,48220,통영시,경상남도,3000
47113,46.35875,관외,47113,포항시 북구,경상북도,3000
41610,45.53791666666667,관외,41610,광주시,경기도,3000
28260,44.68750000000001,관외,28260,서구,인천광역시,3000
48250,42.59875,관외,48250,김해시,경상남도,3000
41390,42.36791666666667,관외,41390,시흥시,경기도,3000
41117,42.02791666666667,관외,41117,수원시 영통구,경기도,3000
27710,41.87625,관외,27710,달성군,대구광역시,3000
11380,41.459583333333335,관외,11380,은평구,서울특별시,3000
44210,41.285833333333336,관내,44210,서산시,충청남도,3000
48880,41.13666666666667,관외,48880,거창군,경상남도,3000
11470,41.11916666666667,관외,11470,양천구,서울특별시,3000
41461,40.19791666666667,관외,41461,용인시 처인구,경기도,3000
48125,39.437083333333334,관외,48125,창원시 마산합포구,경상남도,3000
11350,38.687916666666666,관외,11350,노원구,서울특별시,3000
46130,38.672916666666666,관외,46130,여수시,전라남도,3000
41550,38.10333333333334,관외,41550,안성시,경기도,3000
41113,37.93541666666667,관외,41113,수원시 권선구,경기도,3000
48121,37.920833333333334,관외,48121,창원시 의창구,경상남도,3000
41111,37.882083333333334,관외,41111,수원시 장안구,경기도,3000
27260,37.416250000000005,관외,27260,수성구,대구광역시,3000
11500,37.215833333333336,관외,11500,강서구,서울특별시,3000
28200,36.90416666666667,관외,28200,남동구,인천광역시,3000
11290,36.69708333333333,관외,11290,성북구,서울특별시,3000
41271,34.94833333333334,관외,41271,안산시 상록구,경기도,3000
41463,34.58166666666667,관외,41463,용인시 기흥구,경기도,3000
28237,34.331250000000004,관외,28237,부평구,인천광역시,3000
11590,34.129583333333336,관외,11590,동작구,서울특별시,3000
41273,33.97041666666667,관외,41273,안산시 단원구,경기도,3000
46150,33.94958333333334,관외,46150,순천시,전라남도,3000
47111,33.52708333333334,관외,47111,포항시 남구,경상북도,3000
52740,33.492916666666666,관외,52740,장수군,전북특별자치도,3000
41131,32.26291666666667,관외,41131,성남시 수정구,경기도,3000
41192,32.18875,관외,41192,부천시 원미구,경기도,3000
11740,31.763333333333335,관외,11740,강동구,서울특별시,3000
29155,31.750416666666666,관외,29155,남구,광주광역시,3000
52210,31.60291666666667,관외,52210,김제시,전북특별자치도,3000
44790,31.588333333333335,관내,44790,청양군,충청남도,3000
48127,31.347916666666666,관외,48127,창원시 마산회원구,경상남도,3000
11545,31.230416666666667,관외,11545,금천구,서울특별시,3000
41370,31.212083333333336,관외,41370,오산시,경기도,3000
43720,31.068333333333335,관외,43720,보은군,충청북도,3000
11260,30.914166666666667,관외,11260,중랑구,서울특별시,3000
41500,30.415000000000003,관외,41500,이천시,경기도,3000
48123,29.488333333333337,관외,48123,창원시 성산구,경상남도,3000
28177,29.183333333333334,관외,28177,미추홀구,인천광역시,3000
11650,27.993750000000002,관외,11650,서초구,서울특별시,3000
41210,27.56041666666667,관외,41210,광명시,경기도,3000
47290,27.328333333333333,관외,47290,경산시,경상북도,3000
11560,27.328333333333333,관외,11560,영등포구,서울특별시,3000
44770,27.083750000000002,관내,44770,서천군,충청남도,3000
41115,26.785416666666666,관외,41115,수원시 팔달구,경기도,3000
11530,26.74041666666667,관외,11530,구로구,서울특별시,3000
41410,26.672500000000003,관외,41410,군포시,경기도,3000
41135,26.530416666666667,관외,41135,성남시 분당구,경기도,3000
46110,26.409166666666668,관외,46110,목포시,전라남도,3000
41450,26.388333333333335,관외,41450,하남시,경기도,3000
41281,26.074583333333337,관외,41281,고양시 덕양구,경기도,3000
11215,25.944583333333334,관외,11215,광진구,서울특별시,3000
47250,25.922083333333333,관외,47250,상주시,경상북도,3000
48870,25.84625,관외,48870,함양군,경상남도,3000
11680,25.22791666666667,관외,11680,강남구,서울특별시,3000
41173,25.122083333333336,관외,41173,안양시 동안구,경기도,3000
27200,24.824583333333333,관외,27200,남구,대구광역시,3000
26230,24.542083333333334,관외,26230,부산진구,부산광역시,3000
44825,24.330000000000002,관내,44825,태안군,충청남도,3000
51130,24.1325,관외,51130,원주시,강원특별자치도,3000
41570,23.789583333333336,관외,41570,김포시,경기도,3000
41150,23.61375,관외,41150,의정부시,경기도,3000
46230,23.392500000000002,관외,46230,광양시,전라남도,3000
48860,23.27791666666667,관외,48860,산청군,경상남도,3000
43750,23.274583333333336,관외,43750,진천군,충청북도,3000
28185,22.834583333333335,관외,28185,연수구,인천광역시,3000
47850,22.430833333333336,관외,47850,칠곡군,경상북도,3000
11440,22.414583333333336,관외,11440,마포구,서울특별시,3000
29110,22.347916666666666,관외,29110,동구,광주광역시,3000
41171,21.892500000000002,관외,41171,안양시 만안구,경기도,3000
48270,21.528750000000002,관외,48270,밀양시,경상남도,3000
48129,21.500416666666666,관외,48129,창원시 진해구,경상남도,3000
11320,21.093333333333334,관외,11320,도봉구,서울특별시,3000
31140,20.868750000000002,관외,31140,남구,울산광역시,3000
48330,20.780416666666667,관외,48330,양산시,경상남도,3000
26350,20.447916666666668,관외,26350,해운대구,부산광역시,3000
41465,20.238333333333333,관외,41465,용인시 수지구,경기도,3000
26320,20.220833333333335,관외,26320,북구,부산광역시,3000
41480,20.00166666666667,관외,41480,파주시,경기도,3000
11230,19.63791666666667,관외,11230,동대문구,서울특별시,3000
11200,19.510833333333334,관외,11200,성동구,서울특별시,3000
31110,19.4725,관외,31110,중구,울산광역시,3000
41133,19.222916666666666,관외,41133,성남시 중원구,경기도,3000
26260,18.42625,관외,26260,동래구,부산광역시,3000
52180,18.17,관외,52180,정읍시,전북특별자치도,3000
47840,17.604583333333334,관외,47840,성주군,경상북도,3000
26530,17.59375,관외,26530,사상구,부산광역시,3000
28245,17.502083333333335,관외,28245,계양구,인천광역시,3000
26290,17.432916666666667,관외,26290,남구,부산광역시,3000
11305,17.085,관외,11305,강북구,서울특별시,3000
11410,16.874166666666667,관외,11410,서대문구,서울특별시,3000
47130,16.534583333333334,관외,47130,경주시,경상북도,3000
41194,15.767916666666668,관외,41194,부천시 소사구,경기도,3000
26380,15.474583333333333,관외,26380,사하구,부산광역시,3000
52190,15.405000000000001,관외,52190,남원시,전북특별자치도,3000
41310,15.230416666666667,관외,41310,구리시,경기도,3000
47170,14.677916666666667,관외,47170,안동시,경상북도,3000
43130,14.425833333333333,관외,43130,충주시,충청북도,3000
41196,14.389583333333334,관외,41196,부천시 오정구,경기도,3000
46730,13.804166666666667,관외,46730,구례군,전라남도,3000
52800,13.691666666666666,관외,52800,부안군,전북특별자치도,3000
41630,13.502500000000001,관외,41630,양주시,경기도,3000
26470,13.10125,관외,26470,연제구,부산광역시,3000
47820,12.92375,관외,47820,청도군,경상북도,3000
41430,12.699583333333333,관외,41430,의왕시,경기도,3000
26410,12.522083333333335,관외,26410,금정구,부산광역시,3000
48820,12.312083333333334,관외,48820,고성군,경상남도,3000
47770,11.480416666666667,관외,47770,영덕군,경상북도,3000
26500,11.471666666666668,관외,26500,수영구,부산광역시,3000
48890,11.308333333333334,관외,48890,합천군,경상남도,3000
48840,11.174166666666666,관외,48840,남해군,경상남도,3000
11110,11.045833333333334,관외,11110,종로구,서울특별시,3000
47230,10.468333333333334,관외,47230,영천시,경상북도,3000
41285,10.30625,관외,41285,고양시 일산동구,경기도,3000
47830,10.14,관외,47830,고령군,경상북도,3000
48850,10.056666666666667,관외,48850,하동군,경상남도,3000
46170,10.055,관외,46170,나주시,전라남도,3000
31200,9.923333333333334,관외,31200,북구,울산광역시,3000
31710,9.809166666666666,관외,31710,울주군,울산광역시,3000
11170,9.806666666666667,관외,11170,용산구,서울특별시,3000
28110,9.7425,관외,28110,중구,인천광역시,3000
46880,8.690416666666668,관외,46880,장성군,전라남도,3000
26140,8.665416666666667,관외,26140,서구,부산광역시,3000
46770,8.520833333333334,관외,46770,고흥군,전라남도,3000
48730,8.3375,관외,48730,함안군,경상남도,3000
41287,8.203333333333333,관외,41287,고양시 일산서구,경기도,3000
46780,8.1475,관외,46780,보성군,전라남도,3000
51110,8.102083333333333,관외,51110,춘천시,강원특별자치도,3000
41830,7.972083333333334,관외,41830,양평군,경기도,3000
47280,7.927083333333334,관외,47280,문경시,경상북도,3000
47210,7.78125,관외,47210,영주시,경상북도,3000
41670,7.770416666666667,관외,41670,여주시,경기도,3000
52770,7.576666666666667,관외,52770,순창군,전북특별자치도,3000
41650,7.502916666666667,관외,41650,포천시,경기도,3000
26200,7.4470833333333335,관외,26200,영도구,부산광역시,3000
43745,7.335833333333333,관외,43745,증평군,충청북도,3000
51150,7.3075,관외,51150,강릉시,강원특별자치도,3000
11140,7.24,관외,11140,중구,서울특별시,3000
46790,7.22625,관외,46790,화순군,전라남도,3000
50110,6.644166666666667,관외,50110,제주시,제주특별자치도,3000
51760,6.390000000000001,관외,51760,평창군,강원특별자치도,3000
28710,6.366666666666667,관외,28710,강화군,인천광역시,3000
31170,6.1120833333333335,관외,31170,동구,울산광역시,3000
43150,5.9037500000000005,관외,43150,제천시,충청북도,3000
26710,5.758333333333334,관외,26710,기장군,부산광역시,3000
43760,5.715833333333333,관외,43760,괴산군,충청북도,3000
27110,5.711666666666667,관외,27110,중구,대구광역시,3000
28140,5.358750000000001,관외,28140,동구,인천광역시,3000
52750,5.238333333333333,관외,52750,임실군,전북특별자치도,3000
46870,5.117916666666667,관외,46870,영광군,전라남도,3000
26440,4.96875,관외,26440,강서구,부산광역시,3000
46840,4.96375,관외,46840,무안군,전라남도,3000
51720,4.873333333333333,관외,51720,홍천군,강원특별자치도,3000
52790,4.850833333333333,관외,52790,고창군,전북특별자치도,3000
46820,4.650833333333334,관외,46820,해남군,전라남도,3000
46810,4.23125,관외,46810,강진군,전라남도,3000
46710,4.206666666666667,관외,46710,담양군,전라남도,3000
50130,4.0975,관외,50130,서귀포시,제주특별자치도,3000
48740,4.035833333333334,관외,48740,창녕군,경상남도,3000
46830,4.017083333333334,관외,46830,영암군,전라남도,3000
48720,3.9320833333333334,관외,48720,의령군,경상남도,3000
46720,3.8995833333333336,관외,46720,곡성군,전라남도,3000
41800,3.6945833333333336,관외,41800,연천군,경기도,3000
51230,3.6458333333333335,관외,51230,삼척시,강원특별자치도,3000
27720,3.5766666666666667,관외,27720,군위군,대구광역시,3000
41290,3.4533333333333336,관외,41290,과천시,경기도,3000
41820,3.2704166666666667,관외,41820,가평군,경기도,3000
51750,3.0395833333333333,관외,51750,영월군,강원특별자치도,3000
41250,3.02125,관외,41250,동두천시,경기도,3000
26170,2.899166666666667,관외,26170,동구,부산광역시,3000
46860,2.885416666666667,관외,46860,함평군,전라남도,3000
46890,2.84125,관외,46890,완도군,전라남도,3000
51210,2.694166666666667,관외,51210,속초시,강원특별자치도,3000
46800,2.6216666666666666,관외,46800,장흥군,전라남도,3000
47730,2.4875000000000003,관외,47730,의성군,경상북도,3000
51170,2.3091666666666666,관외,51170,동해시,강원특별자치도,3000
51730,2.1879166666666667,관외,51730,횡성군,강원특별자치도,3000
51810,2.024166666666667,관외,51810,인제군,강원특별자치도,3000
51790,1.9283333333333335,관외,51790,화천군,강원특별자치도,3000
51190,1.92375,관외,51190,태백시,강원특별자치도,3000
47920,1.92375,관외,47920,봉화군,경상북도,3000
26110,1.7616666666666667,관외,26110,중구,부산광역시,3000
47930,1.7579166666666668,관외,47930,울진군,경상북도,3000
43800,1.58375,관외,43800,단양군,충청북도,3000
51780,1.3945833333333333,관외,51780,철원군,강원특별자치도,3000
28720,1.3291666666666666,관외,28720,옹진군,인천광역시,3000
51770,1.3262500000000002,관외,51770,정선군,강원특별자치도,3000
47750,1.0854166666666667,관외,47750,청송군,경상북도,3000
46910,1.0729166666666667,관외,46910,신안군,전라남도,3000
47900,0.8341666666666667,관외,47900,예천군,경상북도,3000
51800,0.7462500000000001,관외,51800,양구군,강원특별자치도,3000
51820,0.7291666666666667,관외,51820,고성군,강원특별자치도,3000
47760,0.5495833333333333,관외,47760,영양군,경상북도,3000
46900,0.5308333333333334,관외,46900,진도군,전라남도,3000
51830,0.4704166666666667,관외,51830,양양군,강원특별자치도,3000
47940,0.22583333333333333,관외,47940,울릉군,경상북도,3000
